date,location_key,new_deceased
2020-05-26,DK,3
2020-06-16,DK,1
2021-03-04,DK,2
2021-05-07,DK,2
2021-05-23,DK,1
2021-06-13,DK,2
2021-09-02,DK,4
2022-03-18,DK,30
2020-04-27,DO,4
2020-05-11,DO,9
2020-06-21,DO,7
2020-07-30,DO,14
2020-08-29,DO,8
2020-12-10,DO,1
2021-02-08,DO,21
2022-03-01,DO,1
2020-06-11,EC,108
2020-07-28,EC,39
2020-09-07,EC,51
2020-12-19,EC,0
2021-02-25,EC,0
2021-07-17,EC,20
2021-08-21,EC,2
2021-10-01,EC,7
2020-05-16,EE,0
2020-08-29,EE,0
2020-09-16,EE,0
2020-11-27,EE,5
2021-03-05,EE,9
2021-06-24,EE,0
2021-08-12,EE,0
2021-11-10,EE,12
2020-07-11,ET,1
2020-10-31,ET,9
2020-12-04,ET,11
2021-08-13,ET,11
2020-08-09,FI,0
2020-09-25,FI,0
2020-10-16,FI,0
2020-11-12,FI,7
2021-05-21,FI,2
2021-07-16,FI,0
2021-10-01,FI,3
2022-01-17,FI,14
2021-08-26,FJ,9
2021-09-17,FJ,22
2021-10-01,FJ,7
2021-05-13,FR,131
2021-08-21,FR,129
2021-12-24,FR,167
2020-05-10,GB,348
2020-08-10,GB,13
2020-08-16,GB,4
2021-02-27,GB,230
2021-04-12,GB,29
2021-08-15,GB,87
2021-08-22,GB,119
2021-11-14,GB,126
2021-11-25,GB,137
2020-10-17,AE,4
2020-11-27,AE,2
2022-02-22,AE,1
2022-03-17,AE,0
2020-10-01,AL,1
2021-02-15,AL,15
2021-02-26,AL,19
2021-06-22,AL,0
2020-06-25,AM,10
2020-10-18,AM,10
2021-01-24,AM,5
2021-03-07,AM,7
2020-07-13,AR,132
2021-01-06,AR,131
2021-02-03,AR,154
2021-03-07,AR,107
2021-05-10,AR,471
2021-06-01,AR,594
2021-08-26,AR,103
2021-10-07,AR,20
2021-10-25,AR,13
2021-11-20,AR,15
2022-02-11,AR,145
2020-04-14,AT,13
2020-06-14,AT,3
2020-06-19,AT,1
2021-03-17,AT,33
2021-07-13,AT,2
2021-11-05,AT,28
2022-03-31,AT,26
2021-04-08,GE,11
2021-04-11,GE,11
2021-04-12,GE,7
2021-06-18,GE,12
2020-06-26,GH,0
2020-09-11,GH,1
2021-05-05,GH,0
2021-07-06,GH,1
2021-01-31,GR,33
2021-04-12,GR,93
2021-05-03,GR,81
2021-08-09,GR,19
2021-11-02,GR,59
2020-06-20,GT,31
2020-06-23,GT,35
2020-09-01,GT,12
2021-01-17,GT,24
2021-02-12,GT,37
2021-07-17,GT,43
2021-07-20,GT,11
2021-12-20,GT,5
2021-03-23,GU,0
2021-07-18,GU,1
2021-10-08,GU,0
2020-12-21,HR,71
2020-12-30,HR,60
2021-08-19,HR,1
2020-05-25,HU,6
2020-08-19,HU,0
2021-07-10,ID,826
2021-07-31,ID,1808
2021-10-11,ID,65
2021-10-20,ID,28
2022-01-14,ID,8
2020-05-16,IE,8
2020-07-05,IE,1
2020-07-09,IE,0
2020-09-02,IE,1
2020-11-24,IE,3
2020-12-17,IE,8
2021-04-03,IE,5
2021-04-23,IE,2
2021-08-04,IE,1
2021-11-19,IE,12
2021-12-02,IE,6
2021-12-27,IE,6
2021-12-30,IE,11
2020-04-17,IL,11
2020-09-04,IL,15
2020-09-26,IL,31
2021-06-23,IL,0
2021-06-26,IL,0
2021-08-05,IL,14
2020-08-13,AU,9
2020-12-03,AU,0
2021-03-13,AU,0
2021-04-09,AU,0
2021-07-14,AU,0
2021-10-07,AU,10
2022-02-09,AU,63
2020-08-18,BA,12
2020-08-28,BA,3
2020-09-07,BA,5
2020-11-16,BA,69
2020-12-16,BA,38
2021-03-29,BA,74
2021-05-27,BA,17
2021-10-27,BA,27
2021-10-28,BA,18
2020-04-13,BD,4
2020-08-09,BD,33
2020-12-31,BD,23
2021-01-05,BD,31
2021-08-21,BD,117
2022-02-14,BD,15
